,repository,package,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
64,CalderaWP/Caldera-Forms,handlebars,73c49d3838cdd61f6af64ec941673526887da94d,,4.5.3,4.6.0,4.6.0,4.5.3,4.1.2,2020-01-09 10:16:42-05:00,2020-01-08T22:45:45.537Z,2020-01-08T22:45:45.537Z,2019-12-27T16:18:44Z,3433,yarn.lock
65,CalderaWP/Caldera-Forms,acorn,d40c31ce99c7253dcbb060b229ebfec905963f21,,5.7.4,7.3.1,7.3.1,5.7.4,5.7.3,2020-06-11 13:43:39+02:00,2020-06-11T10:24:01.388Z,2020-06-11T10:24:01.388Z,2020-03-15T00:21:20Z,3516,yarn.lock
66,Caltech-IPAC/firefly,lodash,0a339dd8cb82f497f43ebb8c1b785b3233ede541,~4.17,3.10.1,4.17.15,4.17.15,4.17.13,4.17.11,2020-02-04 15:54:49-08:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-10-16T22:33:00Z,890,yarn.lock
67,Caltech-IPAC/firefly,lodash.mergewith,0a339dd8cb82f497f43ebb8c1b785b3233ede541,,4.6.2,4.6.2,4.6.2,4.6.2,4.6.1,2020-02-04 15:54:49-08:00,2019-07-10T00:20:07.639Z,2019-07-10T00:20:07.639Z,2019-10-16T22:33:01Z,891,yarn.lock
68,Caltech-IPAC/firefly,lodash-es,0a339dd8cb82f497f43ebb8c1b785b3233ede541,,4.17.15,4.17.15,4.17.15,4.17.15,4.17.11,2020-02-04 15:54:49-08:00,2019-07-19T02:29:44.626Z,2019-07-19T02:29:44.626Z,2019-10-16T22:33:03Z,892,yarn.lock
69,Caltech-IPAC/firefly,mixin-deep,0a339dd8cb82f497f43ebb8c1b785b3233ede541,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2020-02-04 15:54:49-08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-10-16T22:33:04Z,893,yarn.lock
70,Caltech-IPAC/firefly,handlebars,0a339dd8cb82f497f43ebb8c1b785b3233ede541,,,4.7.2,4.7.2,4.4.3,4.1.0,2020-02-04 15:54:49-08:00,2020-01-13T20:53:39.828Z,2020-01-13T20:53:39.828Z,2019-10-16T22:33:05Z,894,yarn.lock
71,Caltech-IPAC/firefly,eslint-utils,0a339dd8cb82f497f43ebb8c1b785b3233ede541,,1.4.3,2.0.0,2.0.0,1.4.2,1.3.1,2020-02-04 15:54:49-08:00,2019-12-26T09:03:45.070Z,2019-12-26T09:03:45.070Z,2019-10-16T22:33:08Z,895,yarn.lock
72,CarPalFleet/JavaScript-SDK,lodash,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,,4.17.15,4.17.15,4.17.15,4.17.15,4.17.11,2020-02-10 15:43:20+08:00,2019-07-19T02:28:46.584Z,2019-07-19T02:28:46.584Z,2019-11-05T07:17:29Z,295,yarn.lock
73,CarPalFleet/JavaScript-SDK,mixin-deep,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2020-02-10 15:43:20+08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-05T07:17:29Z,296,yarn.lock
74,CarPalFleet/JavaScript-SDK,handlebars,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,,4.7.3,4.7.3,4.7.3,4.5.3,4.1.2,2020-02-10 15:43:20+08:00,2020-02-05T05:11:05.763Z,2020-02-05T05:11:05.763Z,2019-12-26T18:54:09Z,312,yarn.lock
75,CartoDB/CartoDB-SQL-API,handlebars,77a12bc8218efb10111ad5b19bd73f75b9794e0a,,,4.5.3,4.5.3,4.5.1,4.0.12,2019-12-27 13:26:02+01:00,2019-11-18T07:11:39.454Z,2019-11-18T07:11:39.454Z,2019-11-01T13:44:13Z,629,package-lock.json
76,CartoDB/CartoDB-SQL-API,handlebars,77a12bc8218efb10111ad5b19bd73f75b9794e0a,,,4.5.3,4.5.3,4.5.3,4.0.12,2019-12-27 13:26:02+01:00,2019-11-18T07:11:39.454Z,2019-11-18T07:11:39.454Z,2019-12-27T18:19:40Z,638,package-lock.json
