,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
1234,serverless/plugins,sshpk,GHSA-2m39-62fm-q8r3,b09234387412b06781398fb10e0ada6395973aa6,c21600162633f5db449b133623523b7e12b8d7b6,2020-03-25 18:28:27+03:00,2020-03-25 18:28:27+03:00,GITHUB,0,0,0,0,0,
1235,shadowsocks/shadowsocks-manager,knex,GHSA-58v4-qwx5-7f59,b0b977167f8d2b6199d75063ec7eb8f64c03a42b,26871930b67cad52dea92cd0bad8d3bf22805e42,2019-11-02 16:31:47+08:00,2019-11-02 16:31:47+08:00,GITHUB,1,1,0,0,0,"1,18"
1236,shadowsocks/shadowsocks-manager,acorn,GHSA-6chw-6frg-f759,deed6cebb45ccfa2c6e74d1b04764947281e4583,bc215117d3789a7fe749e7f778ae6b7abca0a003,2020-03-25 21:39:42+08:00,2020-03-25 21:39:42+08:00,GITHUB,0,1,0,1,1,"11,15"
1237,shockpkg/packages,acorn,GHSA-6chw-6frg-f759,14967035fea8deb285bd94bf246655deac8cca30,1e5abfe76563d11b2531b24c8409f5ee34b21702,2020-03-13 18:50:37-04:00,2020-03-13 18:50:37-04:00,GITHUB,0,1,0,0,0,"0,0"
1238,silverstripe/silverstripe-admin,mixin-deep,GHSA-fhjf-83wg-r2j9,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,8f4b4b1f32222896b4412a6bd16c3a616173409e,2019-11-05 13:51:26+13:00,2019-11-08 10:59:53+13:00,GITHUB,0,1,0,1,1,"15,18"
1239,silverstripe/silverstripe-admin,lodash.mergewith,GHSA-jf85-cpcp-j695,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,8f4b4b1f32222896b4412a6bd16c3a616173409e,2019-11-05 13:51:26+13:00,2019-11-08 10:59:53+13:00,GITHUB,0,0,0,0,0,
1240,silverstripe/silverstripe-admin,handlebars,GHSA-q42p-pg8m-cqh6,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,8f4b4b1f32222896b4412a6bd16c3a616173409e,2019-11-05 13:51:26+13:00,2019-11-08 10:59:53+13:00,GITHUB,0,1,0,0,0,"15,18"
1241,silverstripe/silverstripe-admin,lodash.merge,GHSA-jf85-cpcp-j695,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,8f4b4b1f32222896b4412a6bd16c3a616173409e,2019-11-05 13:51:26+13:00,2019-11-08 10:59:53+13:00,GITHUB,0,1,0,0,0,"15,18"
1242,silverstripe/silverstripe-admin,lodash-es,GHSA-jf85-cpcp-j695,e8ba96f735fbeaa5e6bab029d02975cc2c8a5659,8f4b4b1f32222896b4412a6bd16c3a616173409e,2019-11-05 13:51:26+13:00,2019-11-08 10:59:53+13:00,GITHUB,0,1,0,0,0,"15,18"
1243,single-spa/single-spa,handlebars,GHSA-w457-6q6x-cgp9,f733415470ad3f7c6da3f563dea5e081601f86dd,700eb319184146d3594179224a073ec1bab64133,2020-02-29T12:09:27-07:00,2020-02-29T12:09:27-07:00,SOFTWARE_HERITAGE,0,0,0,0,0,
